"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","zeme3"
"CS","CZEMALFA",1186,"BL","Svatý Bartoloměj","Společenství Svatý Bartoloměj","2007-09-21","9999-09-09","BLM"
"CS","CZEMALFA",1186,"BM","Bermudy","Bermudy","1900-01-01","9999-09-09","BMU"
"CS","CZEMALFA",1186,"BN","Brunej","Stát Brunej Darussalam","1900-01-01","9999-09-09","BRN"
"CS","CZEMALFA",1186,"BO","Bolívie","Mnohonárodní stát Bolívie","1900-01-01","9999-09-09","BOL"
"CS","CZEMALFA",1186,"BQ","Bonaire, Svatý Eustach a Saba","Bonaire, Svatý Eustach a Saba","2011-07-01","9999-09-09","BES"
"CS","CZEMALFA",1186,"BR","Brazílie","Brazilská federativní republika","1900-01-01","9999-09-09","BRA"
"CS","CZEMALFA",1186,"BS","Bahamy","Bahamské společenství","1900-01-01","9999-09-09","BHS"
"CS","CZEMALFA",1186,"BT","Bhútán","Bhútánské království","1900-01-01","9999-09-09","BTN"
"CS","CZEMALFA",1186,"BV","Bouvetův ostrov","Bouvetův ostrov","1900-01-01","9999-09-09","BVT"
"CS","CZEMALFA",1186,"BW","Botswana","Botswanská republika","1900-01-01","9999-09-09","BWA"
"CS","CZEMALFA",1186,"BY","Bělorusko","Běloruská republika","1900-01-01","9999-09-09","BLR"
